,Unnamed: 0,Title,Year_x,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,Rank,Game,Month,Year_y,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
25,340,mark of the ninja,2012,KleiEntertainment,Action;Platformer;Platformer;2D;2D,PC,91,8.0,No Online Multiplayer,186,mark of the ninja,7,2016,167880,341 hours,114059,8,101,225,0,492.32
26,344,dark souls 2,2014,FromSoftware,Action RPG;Role-Playing;Action RPG,PC,91,7.2,Up to 4 ,180,dark souls 2,4,2021,878120,42196 hours,11941,117,3948,1221,58,20.81
27,381,spelunky,2013,DerekYu,Action;Platformer;Platformer;2D;2D,PC,90,7.3,No Online Multiplayer,196,spelunky,11,2017,148347,2971 hours,15893,13,770,206,4,49.93
28,410,deus ex,2000,IonStorm,Action Adventure;Sci-Fi;Sci-Fi;General,PC,90,9.2,1 Player,118,deus ex,7,2016,282652,574 hours,97131,9,92,380,0,492.43
29,431,bayonetta,2017,"PlatinumGames,NexEntertainment",Action Adventure;Linear,PC,90,8.2,No Online Multiplayer,94,bayonetta,4,2017,396836,9267 hours,24966,71,1909,551,12,42.82
30,443,sid meiers civilization 5,2010,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,90,8.0,Up to 4 ,164,sid meiers civilization 5,12,2019,371851,8503 hours,30032,37,1130,500,11,43.73
31,447,deus ex human revolution,2011,NixxesSoftware,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PC,90,8.5,No Online Multiplayer,67,deus ex human revolution,8,2016,483592,6252 hours,18778,44,839,650,8,77.35
32,453,brothers a tale of two sons,2013,Starbreeze,Action Adventure;Fantasy;Fantasy;Linear,PC,90,8.6,No Online Multiplayer,173,brothers a tale of two sons,7,2017,257742,703 hours,165519,19,292,346,0,366.63
33,454,dota 2,2013,ValveSoftware,General;Fantasy;MOBA;Strategy;Real-Time;MOBA,PC,90,6.5,Up to 10 ,10,dota 2,4,2021,49785357,666178 hours,372593,1658,32754,69242,926,74.73
34,458,guild wars 2,2012,ArenaNet,General;Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,90,8.1,Massively Multiplayer,187,guild wars 2,1,2021,638209,46233 hours,4430,142,3115,858,62,13.8
35,474,grand theft auto 4,2008,RockstarToronto,Action Adventure;Modern;Modern;Open-World,PC,90,6.7,1 Player,132,grand theft auto 4,1,2020,630461,4127 hours,26228,17,768,848,5,152.76
36,489,star wars jedi knight ii jedi outcast,2002,RavenSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,89,8.7,Online Multiplayer,155,star wars jedi knight ii jedi outcast,2,2016,142993,277 hours,15523,5,66,205,0,516.22
37,510,dark souls 3,2016,FromSoftware,Role-Playing;Action RPG,PC,89,8.5,Up to 6 ,65,dark souls 3,4,2021,3662459,179386 hours,68123,457,19765,5093,249,20.42
38,511,dead cells,2018,MotionTwin,Action;Platformer;2D,PC,89,8.2,No Online Multiplayer,153,dead cells,2,2020,492580,20617 hours,19229,109,4770,708,29,23.89
39,515,pillars of eternity,2015,ObsidianEntertainment,PC-style RPG;Third-Person;PC-style RPG;Role-Playing;Western-Style,PC,89,8.3,No Online Multiplayer,167,pillars of eternity,5,2018,271962,8662 hours,10680,32,1075,366,11,31.4
40,516,the elder scrolls iii morrowind,2002,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,89,8.9,No Online Multiplayer,66,the elder scrolls iii morrowind,7,2016,539122,1819 hours,146352,11,294,725,2,296.38
41,523,fallout,1997,BlackIsleStudios,Role-Playing;First-Person;First-Person;PC-style RPG;PC-style RPG;Western-Style,PC,89,8.8,1 Player,149,fallout,1,2020,547171,781 hours,181041,10,162,736,1,700.6
42,525,into the breach,2018,SubsetGames,Strategy;Turn-Based;General;Tactics,PC,89,7.6,No Online Multiplayer,79,into the breach,3,2018,786452,20098 hours,12904,151,3779,1058,27,39.13
43,532,left 4 dead,2008,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,89,9.1,Up to 8 ,168,left 4 dead,1,2017,265959,1143 hours,140433,18,405,357,1,232.69
44,533,left 4 dead 2,2009,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Tactical,PC,89,8.4,Up to 8 ,182,left 4 dead 2,1,2021,662445,64943 hours,108971,227,14564,891,87,10.2
45,535,f1 2017,2017,Codemasters,Racing;Simulation;Automobile,PC,89,7.5,not specified,178,f1 2017,5,2018,235984,6369 hours,11140,54,2357,317,8,37.05
46,548,mass effect,2008,"BioWare,DemiurgeStudios",Role-Playing;Action RPG;Console-style RPG;Japanese-Style;Western-Style,PC,89,8.6,No Online Multiplayer,195,mass effect,1,2019,330312,6650 hours,24724,23,816,444,8,49.67
47,565,borderlands 2,2012,GearboxSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,89,8.2,Up to 4 ,109,borderlands 2,9,2019,546455,48937 hours,14371,236,10186,760,68,11.17
48,595,mass effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,PC,89,5.7,Up to 4 ,150,mass effect 3,5,2017,203341,2845 hours,12252,15,423,273,3,71.47
49,644,stardew valley,2016,"EricBarone,ConcernedApe",General;Role-Playing;General,PC,89,8.6,No Online Multiplayer,117,stardew valley,4,2021,1693474,188307 hours,9956,523,26055,2355,261,8.99
50,645,prince of persia the sands of time,2003,Ubisoft,Action Adventure;Fantasy;Fantasy;Linear,PC,89,8.6,No Online Multiplayer,196,prince of persia the sands of time,7,2017,220699,330 hours,142096,18,77,297,0,668.78
51,646,what remains of edith finch,2017,GiantSparrow,Adventure;3D;First-Person,PC,89,8.2,No Online Multiplayer,125,what remains of edith finch,5,2017,280354,2395 hours,15557,16,1066,377,3,117.06
52,657,xcom 2 war of the chosen,2017,FiraxisGames,Strategy;Turn-Based;Tactics,PC,88,7.7,not specified,187,xcom 2 war of the chosen,2,2020,367766,6329 hours,6306,22,569,529,9,58.11
53,660,microsoft flight simulator,2003,MicrosoftGameStudios,Simulation;Flight;Civilian Plane;Civilian,PC,88,8.2,1-16 ,185,microsoft flight simulator,1,2021,648000,49575 hours,8605,157,4269,872,66,13.07
54,670,mafia,2002,IllusionSoftworks,Action Adventure;Historic;Historic;Open-World,PC,88,9.1,No Online Multiplayer,187,mafia,9,2017,174158,661 hours,5703,6,106,242,0,263.48
55,670,mafia,2002,IllusionSoftworks,Action Adventure;Historic;Historic;Open-World,PC,88,9.1,No Online Multiplayer,120,mafia,10,2020,1086551,61766 hours,14861,362,8863,1462,83,17.59
56,680,nuclear throne,2015,Vlambeer,General;Action;General;Shooter;Shoot-'Em-Up;Top-Down,PC,88,7.6,No Online Multiplayer,174,nuclear throne,6,2016,112150,2282 hours,3998,21,473,155,3,49.15
57,697,monster hunter world,2018,Capcom,Role-Playing;Action RPG,PC,88,5.2,Up to 4 ,141,monster hunter world,3,2021,1278248,128585 hours,14073,271,14470,1720,173,9.94
58,703,kerbal space program,2015,"SQUADTeam,Squad",Sci-Fi;Small Spaceship;Small Spaceship;Simulation;Space;Combat,PC,88,8.2,No Online Multiplayer,170,kerbal space program,9,2019,308255,11633 hours,7429,51,1436,428,16,26.5
59,704,ori and the blind forest,2016,MoonStudios,Action;Platformer;2D,PC,88,8.6,No Online Multiplayer,126,ori and the blind forest,3,2020,742052,45972 hours,17485,163,8789,998,61,16.14
60,837,ori and the blind forest,2015,MoonStudios,Action;Platformer;2D,PC,88,8.7,No Online Multiplayer,126,ori and the blind forest,3,2020,742052,45972 hours,17485,163,8789,998,61,16.14
61,727,starcraft,1998,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Sci-Fi;Command,PC,88,9.1,1-8 ,86,starcraft,4,2021,2461132,16130 hours,67408,59,1166,3422,22,152.58
62,1629,starcraft,2017,BlizzardEntertainment,Strategy;Real-Time;Command,PC,85,7.6,not specified,86,starcraft,4,2021,2461132,16130 hours,67408,59,1166,3422,22,152.58
63,744,xcom 2,2016,FiraxisGames,Strategy;Turn-Based;General;Tactics,PC,88,7.2,2 ,131,xcom 2,4,2021,1428596,15779 hours,38141,54,1381,1986,21,90.54
64,747,cuphead,2017,StudioMDHR,Action;Platformer;2D,PC,88,8.3,not specified,196,cuphead,4,2021,795329,31721 hours,90364,98,7795,1106,44,25.07
65,783,pillars of eternity ii deadfire,2018,ObsidianEntertainment,Role-Playing;Western-Style,PC,88,7.7,No Online Multiplayer,49,pillars of eternity ii deadfire,5,2018,1731365,25887 hours,23893,275,2196,2330,34,66.88
66,799,sid meiers civilization 6,2016,FiraxisGames,Strategy;Turn-Based;4X,PC,88,7.1,not specified,192,sid meiers civilization 6,2,2021,631600,33025 hours,16346,131,3848,941,49,19.12
67,800,battlefield 1,2016,EADICE,General;Action;Shooter;First-Person;Tactical,PC,88,7.2,not specified,154,battlefield 1,10,2018,342306,73093 hours,3368,214,15751,460,98,4.68
68,803,diablo 3,2012,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,88,4.1,Up to 4 ,53,diablo 3,4,2021,4331609,179334 hours,50930,1605,15191,6024,249,24.15
69,809,eve online,2009,CCP,Role-Playing;Miscellaneous;Massively Multiplayer Online;Compilation;Sci-Fi,PC,88,7.7,not specified,159,eve online,11,2019,334773,14951 hours,15950,49,1131,465,20,22.39
70,814,guacamelee,2013,DrinkBoxStudios,Action;Platformer;Platformer;2D;2D,PC,88,7.3,No Online Multiplayer,187,guacamelee,7,2017,233899,168 hours,143685,8,41,314,0,1392.26
71,831,owlboy,2016,D-PadStudio,Fantasy;Action Adventure;General,PC,88,7.7,No Online Multiplayer,149,owlboy,1,2018,294999,935 hours,124483,11,298,397,1,315.51
72,834,celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,PC,88,7.2,No Online Multiplayer,192,celeste,12,2019,289854,14029 hours,5445,57,2997,390,18,20.66
73,836,night in the woods,2017,InfiniteFall,Fantasy;Action Adventure;Adventure;General,PC,88,7.8,No Online Multiplayer,136,night in the woods,3,2017,206444,5625 hours,22562,32,1083,277,7,36.7
74,844,diablo 2,2000,BlizzardNorth,Role-Playing;Action RPG;Action RPG,PC,88,8.8,Up to 8 ,84,diablo 2,3,2021,2489718,67300 hours,26418,353,3466,3350,90,36.99
75,849,the witcher 2 assassins of kings,2011,CDProjektRedStudio,Role-Playing;Action RPG;Action RPG,PC,88,8.5,No Online Multiplayer,154,the witcher 2 assassins of kings,1,2020,526984,10868 hours,23349,45,1393,709,14,48.49
76,857,doom 3,2004,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,87,7.6,4  Online,172,doom 3,5,2016,116783,1981 hours,10092,14,584,157,2,58.95
77,892,subnautica,2018,UnknownWorldsEntertainment,Adventure;General,PC,87,8.2,No Online Multiplayer,141,subnautica,4,2021,1270453,212990 hours,13557,782,28062,1766,296,5.96
78,895,battlefield bad company 2,2010,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,87,8.3,not specified,163,battlefield bad company 2,6,2016,125333,1081 hours,28282,12,388,174,1,115.94
79,917,diablo ii lord of destruction,2001,BlizzardNorth,Role-Playing;Action RPG;Action RPG,PC,87,9.0,1-8 ,167,diablo ii lord of destruction,9,2020,674327,18762 hours,5999,60,1131,937,26,35.94
80,929,hitman 2,2002,IoInteractive,Action Adventure;Modern;General;Modern,PC,87,8.1,No Online Multiplayer,145,hitman 2,1,2021,1008432,15092 hours,13850,73,4688,1357,20,66.82
81,938,max payne 3,2012,RockstarStudios,Action;Shooter;Shooter;Third-Person;Modern;Modern;Arcade,PC,87,7.7,not specified,116,max payne 3,7,2020,1184524,2509 hours,22400,15,484,1594,3,472.11
82,948,hollow knight,2017,TeamCherry,Action Adventure;General,PC,87,8.8,No Online Multiplayer,148,hollow knight,4,2021,1175037,85114 hours,19766,238,10681,1634,118,13.81
